code," eng_desc"," viet_desc"," image"," alternative_code"
AA804R,"Ruler, 150 mm (6""), graduated in mm and inches","Thước đo, thép không gỉ, dài 150mm, chia độ đến mm và inches",https://products.api.bbraun.io/api/image/AA804R?countryISOCode=01,17-412-15-07
AA805R,"Ruler, 300 mm (11 3/4""), graduated in mm and inches","Thước đo bằng thép không gỉ, dài 300mm, chia độ đến mm và inches",https://products.api.bbraun.io/api/image/AA805R?countryISOCode=01,17-412-30-07
AA806R,"Ruler, 500 mm (19 3/4""), graduated in mm and inches","Thước đo bằng thép không gỉ, dài 500mm, chia độ đến mm và inches",https://products.api.bbraun.io/api/image/AA806R?countryISOCode=01,17-412-50-07
AA808R,"X-Ray Ruler, 500 mm (19 3/4""), graduated in 0.5 cm","Thước sử dụng trong X-quang, dài 500mm, chia độ đến 0,5 cm",https://products.api.bbraun.io/api/image/AA808R?countryISOCode=01,99-999-99-99
AA845R,None,None,None,48-370-26-07
AA846R,"Caliper, 240 mm (9 1/2""), open. width: 190 mm, measuring range up to 190 mm","Thước đo đường kính trong và ngoài, dài 230mm, có thể đo tới 150mm",https://products.api.bbraun.io/api/image/AA846R?countryISOCode=01,09-004-64-07
AA847R,"Caliper, 130 mm (5 1/8""), open. width: 100 mm, measuring range up to 100 mm","Thước đo đường kính trong và ngoài, dài 130mm, có thể đo tới 100mm",https://products.api.bbraun.io/api/image/AA847R?countryISOCode=01,99-999-99-99
AC468R,None,"Gương soi thanh quản, số 000, dài 120mm, đường kính 6mm",None,99-999-99-99
AC469R,None,"Gương soi thanh quản, số 00, dài 120mm, đường kính 8mm",None,39-786-08-04
AC470R,None,"Gương soi thanh quản, số 0, dài 120mm, đường kính 10mm",None,39-786-10-04
AC471R,None,"Gương soi thanh quản, số 1, dài 120mm, đường kính 12mm",None,39-786-12-04
AC472R,None,"Gương soi thanh quản, số 2, dài 120mm, đường kính 14mm",None,39-786-14-04
AC473R,None,"Gương soi thanh quản, số 3, dài 120mm, đường kính 16mm",None,39-785-16-01
AC474R,None,"Gương soi thanh quản, số 4, dài 120mm, đường kính 18mm",None,39-785-18-01
AC475R,None,"Gương soi thanh quản, số 5, dài 120mm, đường kính 20mm",None,39-785-20-01
AC476R,None,"Gương soi thanh quản, số 6, dài 120mm, đường kính 22mm",None,39-785-22-01
AC477R,None,"Gương soi thanh quản, số 7, dài 120mm, đường kính 24mm",None,39-785-24-01
AC478R,None,"Gương soi thanh quản, số 8, dài 120mm, đường kính 26mm",None,39-785-26-01
AC479R,None,"Gương soi thanh quản, số 9, dài 120mm, đường kính 28mm",None,39-785-28-01
AC480R,None,"Gương soi thanh quản, số 10, dài 120mm, đường kính 30mm",None,39-786-30-04
AC481R,None,"Cán gương soi thanh quản, sử dụng cùng AC468R - AC480R, dài 110mm",None,39-794-11-02
AC483C,None,None,None,39-798-12-02
AC497R,None,None,None,39-789-12-02
AC498R,None,None,None,39-789-14-02
AD110R,"Goniometer, 145 mm (5 3/4"")",Thước đo góc,https://products.api.bbraun.io/api/image/AD110R?countryISOCode=01,17-408-01-07
AD123R,"STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 33 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 33mm",https://products.api.bbraun.io/api/image/AD123R?countryISOCode=01,09-006-47-07
AD125R,"STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 38 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 38mm",https://products.api.bbraun.io/api/image/AD125R?countryISOCode=01,09-006-49-07
AD127R,"STEGMANN Mamilla Marker, (Areola Cookie Cutter, Nipple Marker), Ø 42 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 43mm",https://products.api.bbraun.io/api/image/AD127R?countryISOCode=01,09-006-51-07
AD129R,"STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 48 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 48mm",https://products.api.bbraun.io/api/image/AD129R?countryISOCode=01,09-006-53-07
AN379R,"MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for infants, straight, 150 mm (6""), jaw: serrated, fenestrated","Kềm kẹp ống nội khí quản Magill, cho trẻ sơ sinh, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 150mm",https://products.api.bbraun.io/api/image/AN379R?countryISOCode=01,19-301-15-07
AN380R,"MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for children, straight, 180 mm (7""), jaw: serrated, fenestrated","Kềm kẹp ống nội khí quản Magill, cho trẻ em, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 200mm",https://products.api.bbraun.io/api/image/AN380R?countryISOCode=01,19-301-20-07
AN381R,"MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for adults, straight, 230 mm (9""), jaw: serrated, fenestrated","Kềm kẹp ống nội khí quản Magill, cho người lớn, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 250mm",https://products.api.bbraun.io/api/image/AN381R?countryISOCode=01,19-303-25-07
AN705R,None,None,None,38-467-17-07
AN709R,"COLLIN Organ Grasping Forceps (Tongue Forceps), oval, straight, 170 mm (6 3/4""), jaw: serrated, fenestrated","Kẹp tổ chức Collin thẳng, ngàm khuyết, có khía, hình oval, khớp vít, có khóa cài, dài 170mm",https://products.api.bbraun.io/api/image/AN709R?countryISOCode=01,13-278-17-07
AN710R,"HEYWOOD-SMITH Organ Grasping Forceps (Haemorrhoidal Forceps), oval, straight, 200 mm (7 7/8""), jaw: serrated, fenestrated","Kẹp tổ chức Heywood-Smith, thẳng, ngàm có khía, hình oval, khuyết, khớp vít, có khóa cài, dài 200mm",https://products.api.bbraun.io/api/image/AN710R?countryISOCode=01,09-009-41-07
AN711R,"HEYWOOD-SMITH (MODIF.) Organ Grasping Forceps (Haemorrhoidal Forceps), oval, straight, 210 mm (8 1/4""), jaw: serrated, fenestrated","Kẹp tổ chức Heywood-Smith (Modif.), thẳng, ngàm có khía, hình oval, khuyết, khớp hộp, có khóa cài, dài 215mm",https://products.api.bbraun.io/api/image/AN711R?countryISOCode=01,09-009-41-07
AN908R,"KLINIKUM BERLIN Tubing Clamp, straight, 145 mm (5 3/4""), heavy pattern, serrated, box lock","Kẹp ống dẫn Klinikum Berlin, loại khỏe, thẳng, ngàm có khía, khớp hộp, có khóa cài dài, dài 145mm",https://products.api.bbraun.io/api/image/AN908R?countryISOCode=01,13-940-14-07
AN909R,"Tubing Clamp, straight, 165 mm (6 1/2""), heavy pattern, smooth, box lock","Kẹp ống dẫn, loại rất khỏe, thẳng, ngàm trơn, khớp hộp, dài 165mm",https://products.api.bbraun.io/api/image/AN909R?countryISOCode=01,13-942-16-07
AN910R,"Tubing Clamp, straight, 165 mm (6 1/2""), heavy pattern, serrated, box lock","Kẹp ống dẫn, loại rất khỏe, thẳng, ngàm có khía, khớp hộp, dài 165mm",https://products.api.bbraun.io/api/image/AN910R?countryISOCode=01,13-944-15-07
AN911R,"Tubing Clamp, straight, 180 mm (7""), guarded, serrated","Kẹp ống dẫn, thẳng, ngàm có khía, có khóa dẫn đầu ngàm, dài 180mm",https://products.api.bbraun.io/api/image/AN911R?countryISOCode=01,13-944-18-07
AN912R,"Tubing Clamp, straight, 180 mm (7""), serrated","Kẹp ống dẫn, thẳng, ngàm có khía, dài 180mm",https://products.api.bbraun.io/api/image/AN912R?countryISOCode=01,13-946-18-07
AN913R,"Tubing Clamp, straight, 205 mm (8""), heavy wedge jaw, fluted, serrated","Kẹp ống dẫn, thẳng, ngàm khỏe hình răng bừa, có khía, dài 200mm",https://products.api.bbraun.io/api/image/AN913R?countryISOCode=01,13-944-20-07
BA210,None,"Dao mổ thép carbon dùng một lần, số 10, cán nhựa, hộp 10 chiếc",None,10-295-10-04
BA211,None,"Dao mổ thép carbon dùng một lần, số 11, cán nhựa, hộp 10 chiếc",None,10-295-11-04
BA212,None,"Dao mổ thép carbon dùng một lần, số 12, cán nhựa, hộp 10 chiếc",None,10-295-12-04
BA215,None,"Dao mổ thép carbon dùng một lần, số 15, cán nhựa, hộp 10 chiếc",None,10-295-15-04
BA215-1,None,"Cán dao mổ dùng một lần, số 15-1 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",None,99-999-99-99
BA215-C,None,"Cán dao mổ dùng một lần, số 15-C , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",None,99-999-99-99
BA218,None,"Dao mổ thép carbon dùng một lần, số 18, cán nhựa, hộp 10 chiếc",None,10-285-18-04
BA219,None,"Dao mổ thép carbon dùng một lần, số 19, cán nhựa, hộp 10 chiếc",None,99-999-99-99
BA220,None,"Dao mổ thép carbon dùng một lần, số 20, cán nhựa, hộp 10 chiếc",None,10-285-21-04
BA221,None,"Dao mổ thép carbon dùng một lần, số 21, cán nhựa, hộp 10 chiếc",None,10-285-21-04
BA222,None,"Dao mổ thép carbon dùng một lần, số 22, cán nhựa, hộp 10 chiếc",None,10-285-22-04
BA223,None,"Dao mổ thép carbon dùng một lần, số 23, cán nhựa, hộp 10 chiếc",None,10-285-23-04
BA224,None,"Dao mổ thép carbon dùng một lần, số 24, cán nhựa, hộp 10 chiếc",None,99-999-99-99
BA311SU,None,"Dao mổ, số 11, loại lớn, cán polymer,bằng thép không gỉ, dài 230mm, hộp 10 chiếc",None,99-999-99-99
BA323SU,None,"Dao mổ, số 23, loại lớn, cán polymer,bằng thép không gỉ, dài 230mm, hộp 10 chiếc",None,99-999-99-99
BA365,None,"Dao vi phẫu thép carbon, số 64, cán nhựa, màu xanh da trời, hộp 5 chiếc",None,99-999-99-99
BA451R,"BERGMANN Scalpel, Fig. 1, 140 mm (5 1/2"")","Dao mổ Bergmann, số 1, dài 140mm",https://products.api.bbraun.io/api/image/BA451R?countryISOCode=01,99-999-99-99
BA501R,None,"Dao mổ, số 1, lưỡi bầu, dài 140mm",None,10-002-01-07
BA503R,"Scalpel, Fig. 3, bellied, 150 mm (6"")","Dao mổ, số 3, lưỡi bầu, dài 150mm",https://products.api.bbraun.io/api/image/BA503R?countryISOCode=01,10-002-01-07
BA504R,"Scalpel, Fig. 4, bellied, 150 mm (6"")","Dao mổ, số 4, lưỡi bầu, dài 150mm",https://products.api.bbraun.io/api/image/BA504R?countryISOCode=01,10-002-02-07
BA506R,"Scalpel, Fig. 6, bellied, 165 mm (6 1/2"")","Dao mổ, số 6, lưỡi bầu, dài 165mm",https://products.api.bbraun.io/api/image/BA506R?countryISOCode=01,10-002-03-07
BA507R,"Scalpel, Fig. 7, bellied, 165 mm (6 1/2"")","Dao mổ, số 7, lưỡi bầu, dài 165mm",https://products.api.bbraun.io/api/image/BA507R?countryISOCode=01,10-002-04-07
BA508R,"Scalpel, Fig. 8, bellied, 170 mm (6 3/4"")","Dao mổ, số 8, lưỡi bầu, dài 170mm",https://products.api.bbraun.io/api/image/BA508R?countryISOCode=01,10-002-05-07
BA509R,"Scalpel, Fig. 9, bellied, 175 mm (6 7/8"")","Dao mổ, số 9, lưỡi bầu, dài 170mm",https://products.api.bbraun.io/api/image/BA509R?countryISOCode=01,99-999-99-99
BA514R,"Scalpel, Fig. 14, pointed, 155 mm (6 1/8"")","Dao mổ, số 14, mũi nhọn, dài 155mm",https://products.api.bbraun.io/api/image/BA514R?countryISOCode=01,10-002-09-07
BA604R,"SIMON Fistula Knife, 200 mm (7 7/8"")","Dao phẫu tích lỗ rò Simon, lưỡi hẹp, dài 200mm",https://products.api.bbraun.io/api/image/BA604R?countryISOCode=01,99-999-99-99
BA605R,"SIMON Fistula Knife, 205 mm (8"")","Dao phẫu tích lỗ rò Simon, lưỡi vừa, dài 200mm",https://products.api.bbraun.io/api/image/BA605R?countryISOCode=01,99-999-99-99
BA606R,"SIMON Fistula Knife, 215 mm (8 1/2"")","Dao phẫu tích lỗ rò Simon, lưỡi rộng, dài 200mm",https://products.api.bbraun.io/api/image/BA606R?countryISOCode=01,99-999-99-99
BA640R,"HALLE Dura Knife, 210 mm (8 1/4"")","Dao mổ màng não Halle, dài 210mm",https://products.api.bbraun.io/api/image/BA640R?countryISOCode=01,99-999-99-99
BA643R,"TOENNIS Dura Knife, 190 mm (7 1/2"")","Dao mổ màng não Toennis, dài 190mm",https://products.api.bbraun.io/api/image/BA643R?countryISOCode=01,99-999-99-99
BA706R,"SCHINK Dermatome, 300 mm (11 3/4""), used with BA708R, BA709R","Tay dao bào da Schink, dài 300mm",https://products.api.bbraun.io/api/image/BA706R?countryISOCode=01,10-880-00-07
BA708R,"SCHINK Dermatome Spare Blade, used with BA706R",Lưỡi dao thay thế cho tay dao bào da Schink BA706R,https://products.api.bbraun.io/api/image/BA708R?countryISOCode=01,10-880-01-07
BA709R,Bản căng da,"SCHINK Plate, used with BA706R",https://products.api.bbraun.io/api/image/BA709R?countryISOCode=01,10-880-02-07
BA710R,"GOULIAN Dermatome, 180 mm (7""), used with BA711R","Tay dao bào da Goulian, dài 180mm",https://products.api.bbraun.io/api/image/BA710R?countryISOCode=01,99-999-99-99
BA711R,"GOULIAN Dermatome Spare Blade, used with BA710R","Lưỡi dao thay thế cho tay dao bào da Goulian, hộp 50 chiếc",https://products.api.bbraun.io/api/image/BA711R?countryISOCode=01,99-999-99-99
BA712R,"BRAITHWAITE Dermatome, 320 mm (12 1/2""), used with BA718R","Tay dao bào da Braithwaite không kèm lưỡi, dài 315mm",https://products.api.bbraun.io/api/image/BA712R?countryISOCode=01,99-999-99-99
BA713R,"HUMBY Dermatome, 350 mm (13 3/4""), used with BA714R","Tay dao bào da Humby không kèm lưỡi, dài 365mm",https://products.api.bbraun.io/api/image/BA713R?countryISOCode=01,10-878-00-07
BA714R,"HUMBY Dermatome Spare Blade, used with BA713R, sterile, disposable","Lưỡi dao thay thế cho tay dao bào da BA713R, hộp 10 chiếc",https://products.api.bbraun.io/api/image/BA714R?countryISOCode=01,10-878-01-07
BA715R,"SILVER Dermatome, 190 mm (7 1/2"")","Tay dao bào da Silver không kèm lưỡi, dài 190mm",https://products.api.bbraun.io/api/image/BA715R?countryISOCode=01,10-882-19-07
BA716R,None,None,None,10-882-90-98
BA717R,"COBBETT Dermatome, 320 mm (12 1/2""), used with BA718R","Tay dao bào da Cobbett không kèm lưỡi, dài 315mm",https://products.api.bbraun.io/api/image/BA717R?countryISOCode=01,99-999-99-99
BA718R,"Dermatome Spare Blade, used with BA712R, BA717R, BA719R, sterile, disposable","Lưỡi dao thay thế cho tay dao bào da BA717R, hộp 10 chiếc",https://products.api.bbraun.io/api/image/BA718R?countryISOCode=01,99-999-99-99
BA719R,"WATSON Dermatome, 290 mm (11 1/2""), used with BA718R","Tay dao bào da Watson không kèm lưỡi, dài 300mm",https://products.api.bbraun.io/api/image/BA719R?countryISOCode=01,99-999-99-99
BA810SU,"Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 10, Stainless Steel, sterile, disposable","Dao mổ, số 10 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",https://products.api.bbraun.io/api/image/BA810SU?countryISOCode=01,99-999-99-99
BA811SU,"Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 11, Stainless Steel, sterile, disposable","Dao mổ, số 11 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",https://products.api.bbraun.io/api/image/BA811SU?countryISOCode=01,99-999-99-99
BA815SU,"Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 15, Stainless Steel, sterile, disposable","Dao mổ, số 15 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",https://products.api.bbraun.io/api/image/BA815SU?countryISOCode=01,99-999-99-99
BA820SU,"Safety Scalpel, 170 mm (6 3/4""), straight, Fig. 20, Stainless Steel, sterile, disposable","Dao mổ, số 20 , chất liệu thép carbon, cán nhựa, hộp 10 chiếc",https://products.api.bbraun.io/api/image/BA820SU?countryISOCode=01,99-999-99-99
BB045T,"Scalpel Handle, round handle, micro, 145 mm (5 3/4"")","Cán dao mổ Titan, tròn, dài 145mm",https://products.api.bbraun.io/api/image/BB045T?countryISOCode=01,10-160-01-07
BB046R,"Scalpel Handle, round handle, micro, 135 mm (5 1/4"")","Cán dao mổ Titan, tròn, dài 135mm",https://products.api.bbraun.io/api/image/BB046R?countryISOCode=01,10-160-01-07
BB048R,"Scalpel Handle, round handle, micro, 155 mm (6 1/8"")","Cán dao mổ Titan, tròn, dài 155mm",https://products.api.bbraun.io/api/image/BB048R?countryISOCode=01,10-160-01-07
BB052R,"CASPAR Scalpel Handle, round handle, micro, 180 mm (7"")","Cán dao mổ Caspar, tròn, dài 180mm",https://products.api.bbraun.io/api/image/BB052R?countryISOCode=01,09-007-80-07
BB053R,"LANDOLT Scalpel Handle, square shank, micro, 210 mm (8 1/4""), bayonet-shaped","Cán dao mổ Landolt, dáng lưỡi lê, cán vuông, dài 210mm",https://products.api.bbraun.io/api/image/BB053R?countryISOCode=01,10-149-01-07
BB054R,"Scalpel Handle, round handle, micro, 200 mm (7 7/8"")","Cán dao mổ, tròn, dài 200mm",https://products.api.bbraun.io/api/image/BB054R?countryISOCode=01,99-999-99-99
BB057R,"LANDOLT Scalpel Handle, round handle, micro, 250 mm (9 3/4""), bayonet-shaped","Cán dao mổ Landolt, tròn, dáng lưỡi lê, dài 250mm",https://products.api.bbraun.io/api/image/BB057R?countryISOCode=01,10-149-02-07
BB060R,"Scalpel Handle, round handle, micro, 450 mm (17 3/4"")","Cán dao mổ nội soi, dài 330mm, đường kính 5mm",https://products.api.bbraun.io/api/image/BB060R?countryISOCode=01,24-599-85-07
BB063R,"Scalpel Handle, round handle, blade size no. 3, 145 mm (5 3/4"")","Cán dao mổ, tròn, dài 145mm",https://products.api.bbraun.io/api/image/BB063R?countryISOCode=01,10-146-03-07
BB068R,"BARRON Scalpel Handle, blade size no. 3, 130 mm (5 1/8"")","Cán dao mổ Barron, số 3, dài 130mm",https://products.api.bbraun.io/api/image/BB068R?countryISOCode=01,10-140-03-07
BB070R,"Scalpel Handle, round handle, blade size no. 3, 155 mm (6 1/8"")","Cán dao mổ, số 3, dài 155mm",https://products.api.bbraun.io/api/image/BB070R?countryISOCode=01,10-140-03-07
BB071R,"Scalpel Handle, round handle, No. 3, 210 mm (8 1/4""), bayonet-shaped","Cán dao mổ, số 3, hình lưỡi lê, dài 210mm",https://products.api.bbraun.io/api/image/BB071R?countryISOCode=01,10-149-01-07
BB073R,"Scalpel Handle, No. 3, blade size no. 3, 125 mm (5"")","Cán dao mổ, số 3, dài 125mm",https://products.api.bbraun.io/api/image/BB073R?countryISOCode=01,10-130-03-07
BB074R,"Scalpel Handle, No. 3, blade size no. 3, 125 mm (5""), graduated","Cán dao mổ, số 3, có thước đo, dài 125mm",https://products.api.bbraun.io/api/image/BB074R?countryISOCode=01,10-130-05-07
BB075R,"Scalpel Handle, No. 3L, blade size no. 3, 210 mm (8 1/4""), long pattern","Cán dao mổ, số 3L, loại dài, dài 210mm",https://products.api.bbraun.io/api/image/BB075R?countryISOCode=01,10-133-31-07
BB077R,"Scalpel Handle, No. 7, No. 5, blade size no. 3, 160 mm (6 1/4"")","Cán dao mổ, số 7, dài 160mm",https://products.api.bbraun.io/api/image/BB077R?countryISOCode=01,10-137-07-07
BB078R,"Scalpel Handle, blade size no. 3, 225 mm (8 7/8""), long pattern","Cán dao mổ, số 3, thẳng, loại dài, dài 225mm",https://products.api.bbraun.io/api/image/BB078R?countryISOCode=01,10-135-01-07
BB079R,"Scalpel Handle, 25 °, blade size no. 3, 225 mm (8 7/8""), angled, long pattern","Cán dao mổ, số 3, gập góc, loại dài, dài 225mm",https://products.api.bbraun.io/api/image/BB079R?countryISOCode=01,10-133-35-07
BB080R,"Scalpel Handle, blade size no. 4, 225 mm (8 7/8"")","Cán dao mổ, số 4, thẳng, dài 225mm",https://products.api.bbraun.io/api/image/BB080R?countryISOCode=01,99-999-99-99
BB084R,"Scalpel Handle, No. 4, blade size no. 4, 135 mm (5 1/4"")","Cán dao mổ, số 4, dài 135mm",https://products.api.bbraun.io/api/image/BB084R?countryISOCode=01,10-100-04-07
BB085R,"Scalpel Handle, No. 4L, blade size no. 4, 215 mm (8 1/2""), long pattern","Cán dao mổ, số 4L, dài 215mm",https://products.api.bbraun.io/api/image/BB085R?countryISOCode=01,10-104-41-07
BB087R,"Scalpel Handle, No. 4XL, blade size no. 4, 250 mm (9 3/4"")","Cán dao, số 4XL, dài 250mm",https://products.api.bbraun.io/api/image/BB087R?countryISOCode=01,99-999-99-99
BB088R,"Scalpel Handle, No. 8, blade size no. 4, 135 mm (5 1/4"")","Cán dao mổ, số 8, loại nhỏ, dài 130mm",https://products.api.bbraun.io/api/image/BB088R?countryISOCode=01,10-108-08-07
BB089R,"Scalpel Handle, No. 9, blade size no. 4, 145 mm (5 3/4"")","Cán dao mổ, số 9, bản rộng, dài 145mm",https://products.api.bbraun.io/api/image/BB089R?countryISOCode=01,10-109-09-07
BB175R,"Scalpel Handle, No. 3XL, blade size no. 3, 250 mm (9 3/4""), extra long pattern","Cán dao mổ, số 3XL, dài 250mm",https://products.api.bbraun.io/api/image/BB175R?countryISOCode=01,10-135-01-07
BB176R,"BARRE Scalpel Handle, No. 3XL, 12 °, blade size no. 3, 250 mm (9 3/4""), left, angled, extra long pattern","Cán dao mổ Barre, số 3XL, gập góc 12°, dài 250mm",https://products.api.bbraun.io/api/image/BB176R?countryISOCode=01,99-999-99-99
BB177R,"BARRE Scalpel Handle, No. 3XL, blade size no. 3, 250 mm (9 3/4""), left, extra long pattern","Cán dao mổ Barre, số 3XL, dài 250mm",https://products.api.bbraun.io/api/image/BB177R?countryISOCode=01,99-999-99-99
BB178R,"BARRE Scalpel Handle, No. 3XL, 25 °, blade size no. 3, 250 mm (9 3/4""), left, extra long pattern, angled","Cán dao mổ Barre, số 3XL, gập góc 25°, dài 250mm",https://products.api.bbraun.io/api/image/BB178R?countryISOCode=01,99-999-99-99
BB331R,None,"Lưỡi dao vi phẫu màng não Yasargil, rộng 1,50mm, hộp 10 chiếc",None,99-999-99-99
BB332R,None,"Lưỡi dao vi phẫu màng não Yasargil, rộng 2,50mm, hộp 10 chiếc",None,99-999-99-99
BB361R,None,"Lưỡi dao vi phẫu, số 61, loại nhỏ, mũi hình đục, thép không gỉ, hộp 10 chiếc",None,99-999-99-99
BB362R,None,"Lưỡi dao vi phẫu, số 62, loại lớn, mũi hình đục, thép không gỉ, hộp 10 chiếc",None,99-999-99-99
BB363R,None,"Lưỡi dao vi phẫu, số 63, mũi mác, thép không gỉ",None,99-999-99-99
BB364R,None,"Lưỡi dao vi phẫu, số 64, mũi tròn, thép không gỉ, hộp 10 chiếc",None,99-999-99-99
BB365R,None,"Lưỡi dao vi phẫu, số 65, thép không gỉ, hộp 10 chiếc",None,99-999-99-99
BB367R,None,"Lưỡi dao vi phẫu, số 67, thép không gỉ, hộp 10 chiếc",None,99-999-99-99
BB368R,None,"Lưỡi dao vi phẫu, số 68, hình liềm, thép không gỉ, hộp 10 chiếc",None,99-999-99-99
BB369R,None,"Lưỡi dao vi phẫu, số 69, mũi tròn, thép không gỉ",None,99-999-99-99
BB500,None,"Lưỡi dao mổ dạng móc, chất liệu thép carbon, hộp 100mm",None,99-999-99-99
BB510,None,"Lưỡi dao mổ tiệt trùng, số 10 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-10-04
BB511,None,"Lưỡi dao mổ tiệt trùng, số 11 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-11-04
BB512,None,"Lưỡi dao mổ tiệt trùng, số 12 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-12-04
BB513,None,"Lưỡi dao mổ tiệt trùng, số 13 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-13-04
BB515,None,"Lưỡi dao mổ tiệt trùng, số 15 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-15-04
BB515-1,None,"Cán dao mổ, số 15-1 , chất liệu thép carbon, hộp 100 chiếc",None,99-999-99-99
BB515-C,None,"Cán dao mổ, số 15-C , chất liệu thép carbon, hộp 100 chiếc",None,99-999-99-99
BB518,None,"Lưỡi dao mổ tiệt trùng, số 18 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-18-04
BB519,None,"Lưỡi dao mổ tiệt trùng, số 19 , chất liệu thép carbon, hộp 100 chiếc",None,99-999-99-99
BB520,None,"Lưỡi dao mổ tiệt trùng, số 20 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-20-04
BB521,None,"Lưỡi dao mổ tiệt trùng, số 21 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-21-04
BB522,None,"Lưỡi dao mổ tiệt trùng, số 22 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-22-04
BB523,None,"Lưỡi dao mổ tiệt trùng, số 23 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-23-04
BB524,None,"Lưỡi dao mổ tiệt trùng, số 24 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-22-04
BB525,None,"Lưỡi dao mổ tiệt trùng, số 25 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-34-04
BB536,None,"Lưỡi dao mổ tiệt trùng, số 36 , chất liệu thép carbon, hộp 100 chiếc",None,10-155-36-04
BB540,None,"Lưỡi dao mổ tiệt trùng, số 40 , chất liệu thép carbon, hai mặt cắt, hộp 100 chiếc",None,99-999-99-99
BB542,None,"Lưỡi dao mổ tiệt trùng, số 42 , chất liệu thép carbon, hình liềm, hai mặt cắt, hộp 100 chiếc",None,10-156-12-04
BC004R,"Delicate Scissors (Iris Scissors), straight, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings","Kéo phẫu tích, mảnh, thẳng, mũi nhọn/nhọn, cán lớn, dài 115mm",https://products.api.bbraun.io/api/image/BC004R?countryISOCode=01,11-630-11-07
BC005R,"Delicate Scissors (Iris Scissors), curved, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings","Kéo phẫu tích, mảnh, cong, mũi nhọn/nhọn, cán lớn, dài 115mm",https://products.api.bbraun.io/api/image/BC005R?countryISOCode=01,11-631-11-07
BC006R,"JOSEPH Dissecting Scissors, straight, delicate pattern, sharp/sharp, 150 mm (6""), square finger rings","Kéo phẫu tích Joseph, mảnh, thẳng, mũi nhọn/nhọn, cán lớn, dài 150mm",https://products.api.bbraun.io/api/image/BC006R?countryISOCode=01,11-350-14-07
BC007R,"JOSEPH Dissecting Scissors, curved, delicate pattern, sharp/sharp, 150 mm (6""), square finger rings","Kéo phẫu tích Joseph, mảnh, cong, mũi nhọn/nhọn, cán lớn, dài 150mm",https://products.api.bbraun.io/api/image/BC007R?countryISOCode=01,11-351-14-07
BC008R,"STEVENS Dissecting Scissors (Tenotomy Scissors), straight, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings","Kéo phẫu tích Stevens, mảnh, thẳng, mũi nhọn/nhọn, cán lớn, dài 115mm",https://products.api.bbraun.io/api/image/BC008R?countryISOCode=01,11-680-11-07
BC009R,"STEVENS Dissecting Scissors (Tenotomy Scissors), curved, delicate pattern, sharp/sharp, 115 mm (4 1/2""), square finger rings","Kéo phẫu tích Stevens, mảnh, cong, mũi nhọn/nhọn, cán lớn, dài 115mm",https://products.api.bbraun.io/api/image/BC009R?countryISOCode=01,11-681-11-07
BC010R,"STEVENS Dissecting Scissors (Tenotomy Scissors), straight, delicate pattern, blunt/blunt, 115 mm (4 1/2""), square finger rings","Kéo phẫu tích Stevens, mảnh, thẳng, mũi tù/tù, cán lớn, dài 115mm",https://products.api.bbraun.io/api/image/BC010R?countryISOCode=01,11-682-11-07
