code," eng_desc"," viet_desc"," image"," alternative_code"
BC881R,"Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 180 mm (7""), handle: black, 1 large ring, plastic handles","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu đen, 1 cán lớn, dài 180mm",https://products.api.bbraun.io/api/image/BC881R?countryISOCode=01,21-209-18-01
BC885R,"LISTER Bandage- and Cloth Scissors (Universal Scissors), angled to side, serrated (inside), 1 blade probe pointed, 145 mm (5 3/4""), handle: black, plastic handles","Kéo cắt băng vải Lister, gập góc bên, lưỡi có khía, một đầu thăm, cán nhựa màu đen, dài 145mm",https://products.api.bbraun.io/api/image/BC885R?countryISOCode=01,21-209-15-01
BC888R,"Bandage- and Cloth Scissors, angled to side, serrated (inside), 1 blade probe pointed, 205 mm (8"")","Kéo cắt băng vải, gập góc bên, lưỡi có khía, một đầu thăm, dài 205mm",https://products.api.bbraun.io/api/image/BC888R?countryISOCode=01,99-999-99-99
BC890R,"Bandage- and Cloth Scissors (Nurses Scissors), straight, blunt/blunt, 145 mm (5 3/4""), handle: red, plastic handles","Kéo cắt băng vải, thẳng, cán nhựa, mũi tù/tù, dài 145mm",https://products.api.bbraun.io/api/image/BC890R?countryISOCode=01,99-999-99-99
BC900R,"SUPERCUT Delicate Scissors (Iris Scissors), straight, delicate pattern, wave cut, sharp/sharp, 110 mm (4 1/4"")","Kéo phẫu tích Supercut, thẳng, lưỡi gợn sóng, mũi nhọn/nhọn, dài 110mm",https://products.api.bbraun.io/api/image/BC900R?countryISOCode=01,11-673-11-07
BC901R,"SUPERCUT Delicate Scissors (Iris Scissors), curved, delicate pattern, wave cut, sharp/sharp, 110 mm (4 1/4"")","Kéo phẫu tích Supercut, cong, lưỡi gợn sóng, mũi nhọn/nhọn, dài 110mm",https://products.api.bbraun.io/api/image/BC901R?countryISOCode=01,11-674-10-07
BC903R,"SUPERCUT Dissecting Scissors, curved, wave cut, sharp/sharp, 120 mm (4 3/4"")","Kéo phẫu tích Supercut, cong, lưỡi gợn sóng, mũi nhọn/nhọn, dài 125mm",https://products.api.bbraun.io/api/image/BC903R?countryISOCode=01,09-002-47-07
BC904R,"STEVENS SUPERCUT Dissecting Scissors (Tenotomy Scissors), straight, delicate pattern, wave cut, blunt/blunt, 105 mm (4 1/8"")","Kéo phẫu tích Stevens Supercut, thẳng, lưỡi gợn sóng, mũi tù/tù, hàm dài 12mm, dài 105mm",https://products.api.bbraun.io/api/image/BC904R?countryISOCode=01,11-674-10-07
BC905R,"STEVENS SUPERCUT Dissecting Scissors (Tenotomy Scissors), curved, delicate pattern, wave cut, blunt/blunt, 105 mm (4 1/8"")","Kéo phẫu tích Stevens Supercut, cong, lưỡi gợn sóng, mũi tù/tù, hàm dài 12mm, dài 105mm",https://products.api.bbraun.io/api/image/BC905R?countryISOCode=01,11-675-10-07
BC906R,"STEVENS SUPERCUT Dissecting Scissors (Tenotomy Scissors), straight, delicate pattern, wave cut, blunt/blunt, 110 mm (4 1/4"")","Kéo phẫu tích Stevens Supercut, thẳng, lưỡi gợn sóng, mũi tù/tù, hàm dài 13mm, dài 110mm",https://products.api.bbraun.io/api/image/BC906R?countryISOCode=01,11-676-10-07
BC907R,"STEVENS SUPERCUT Dissecting Scissors (Tenotomy Scissors), curved, delicate pattern, wave cut, blunt/blunt, 110 mm (4 1/4"")","Kéo phẫu tích Stevens Supercut, cong, lưỡi gợn sóng, mũi tù/tù, hàm dài 13mm, dài 110mm",https://products.api.bbraun.io/api/image/BC907R?countryISOCode=01,11-677-10-07
BC909R,"GOLDMAN-FOX SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, sharp/sharp, 130 mm (5 1/8"")","Kéo phẫu tích Goldman-Fox Supercut, cong, lưỡi gợn sóng, mũi nhọn/nhọn, dài 130mm",https://products.api.bbraun.io/api/image/BC909R?countryISOCode=01,28-451-13-07
BC911R,"JAMESON SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, blunt/blunt, 130 mm (5 1/8"")","Kéo phẫu tích Jameson Supercut, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, dài 130mm",https://products.api.bbraun.io/api/image/BC911R?countryISOCode=01,09-001-76-07
BC915R,"JAMESON SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, blunt/blunt, 150 mm (6"")","Kéo phẫu tích Jameson Supercut, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, dài 150mm",https://products.api.bbraun.io/api/image/BC915R?countryISOCode=01,09-001-74-07
BC916R,"JOSEPH SUPERCUT Dissecting Scissors, straight, delicate pattern, wave cut, sharp/sharp, 150 mm (6"")","Kéo phẫu tích Joseph Supercut, mảnh, thẳng, lưỡi gợn sóng, mũi nhọn/nhọn, dài 150mm",https://products.api.bbraun.io/api/image/BC916R?countryISOCode=01,11-666-14-07
BC917R,"JOSEPH SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, sharp/sharp, 150 mm (6"")","Kéo phẫu tích Joseph Supercut, mảnh, cong, lưỡi gợn sóng, mũi nhọn/nhọn, dài 150mm",https://products.api.bbraun.io/api/image/BC917R?countryISOCode=01,11-667-14-07
BC919R,"JAMESON SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, blunt/blunt, 180 mm (7"")","Kéo phẫu tích Jameson Supercut, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, dài 180mm",https://products.api.bbraun.io/api/image/BC919R?countryISOCode=01,11-671-18-07
BC920R,"GORNEY SUPERCUT Dissecting Scissors (Facelift Scissors), straight, wave cut, blunt/blunt, 195 mm (7 3/4"")","Kéo phẫu tích Gorney Supercut, thẳng, lưỡi gợn sóng, lưỡi ngoài hơi sắc, mũi tù/tù, dài 195mm",https://products.api.bbraun.io/api/image/BC920R?countryISOCode=01,99-999-99-99
BC921R,"GORNEY SUPERCUT Dissecting Scissors (Facelift Scissors), curved, wave cut, blunt/blunt, 195 mm (7 3/4"")","Kéo phẫu tích Gorney Supercut, cong, lưỡi gợn sóng, lưỡi ngoài hơi sắc, mũi tù/tù, dài 195mm",https://products.api.bbraun.io/api/image/BC921R?countryISOCode=01,28-443-19-07
BC924R,"MAYO SUPERCUT Dissecting Scissors, straight, wave cut, blunt/blunt, 165 mm (6 1/2"")","Kéo phẫu thuật Mayo Supercut, thẳng, lưỡi gợn sóng, mũi tù/tù, dài 165mm",https://products.api.bbraun.io/api/image/BC924R?countryISOCode=01,11-652-17-07
BC925R,"MAYO SUPERCUT Dissecting Scissors, curved, wave cut, blunt/blunt, 165 mm (6 1/2"")","Kéo phẫu thuật Mayo Supercut, cong, lưỡi gợn sóng, mũi tù/tù, dài 165mm",https://products.api.bbraun.io/api/image/BC925R?countryISOCode=01,11-653-17-07
BC926R,"MAYO SUPERCUT Dissecting Scissors, straight, wave cut, chamfered blades, blunt/blunt, 145 mm (5 3/4"")","Kéo phẫu thuật Mayo Supercut, thẳng, lưỡi vát, gợn sóng, mũi tù/tù, dài 145mm",https://products.api.bbraun.io/api/image/BC926R?countryISOCode=01,11-652-14-07
BC927R,"MAYO SUPERCUT Dissecting Scissors, curved, wave cut, chamfered blades, blunt/blunt, 145 mm (5 3/4"")","Kéo phẫu thuật Mayo Supercut, cong, lưỡi vát, gợn sóng, mũi tù/tù, dài 145mm",https://products.api.bbraun.io/api/image/BC927R?countryISOCode=01,11-653-14-07
BC929R,"MAYO SUPERCUT Dissecting Scissors, curved, heavy pattern, wave cut, blunt/blunt, 280 mm (11"")","Kéo phẫu thuật Mayo Supercut, cong, lưỡi gợn sóng, mũi tù/tù, dài 280mm",https://products.api.bbraun.io/api/image/BC929R?countryISOCode=01,09-002-07-07
BC930R,"SUPERCUT Dissecting Scissors (Strabismus Scissors), straight, delicate pattern, wave cut, blunt/blunt, 115 mm (4 1/2"")","Kéo phẫu tích Baby-Metzenbaum Supercut, mảnh, thẳng, lưỡi gợn sóng, mũi tù/tù, dài 115mm",https://products.api.bbraun.io/api/image/BC930R?countryISOCode=01,11-658-11-07
BC931R,"SUPERCUT Dissecting Scissors (Strabismus Scissors), curved, delicate pattern, wave cut, blunt/blunt, 115 mm (4 1/2"")","Kéo phẫu tích Baby-Metzenbaum Supercut, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, dài 115mm",https://products.api.bbraun.io/api/image/BC931R?countryISOCode=01,11-659-11-07
BC933R,"KAYE SUPERCUT Dissecting Scissors (Facelift Scissors), curved, wave cut, blunt/blunt, 195 mm (7 3/4"")","Kéo phẫu tích Kaye Supercut, cong, lưỡi gợn sóng, mặt ngoài lưỡi hơi sắc",https://products.api.bbraun.io/api/image/BC933R?countryISOCode=01,28-449-17-07
BC934R,"METZENBAUM (BABY) SUPERCUT Dissecting Scissors, straight, delicate pattern, wave cut, blunt/blunt, 145 mm (5 3/4"")","Kéo phẫu tích Metzenbaum Supercut, mảnh, thẳng, lưỡi gợn sóng, mũi tù/tù, dài 145mm",https://products.api.bbraun.io/api/image/BC934R?countryISOCode=01,11-658-11-07
BC935R,"METZENBAUM (BABY) SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, blunt/blunt, 145 mm (5 3/4"")","Kéo phẫu tích Metzenbaum Supercut, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, dài 145mm",https://products.api.bbraun.io/api/image/BC935R?countryISOCode=01,11-659-14-07
BC936R,"METZENBAUM SUPERCUT Dissecting Scissors, straight, delicate pattern, wave cut, blunt/blunt, 180 mm (7"")","Kéo phẫu tích Metzenbaum Supercut, thẳng, lưỡi gợn sóng, mũi tù/tù, dài 180mm",https://products.api.bbraun.io/api/image/BC936R?countryISOCode=01,11-660-18-07
BC937R,"METZENBAUM SUPERCUT Dissecting Scissors, curved, delicate pattern, wave cut, blunt/blunt, 180 mm (7"")","Kéo phẫu tích Metzenbaum Supercut, mảnh, cong, lưỡi gợn sóng, mũi tù/tù, dài 180mm",https://products.api.bbraun.io/api/image/BC937R?countryISOCode=01,11-661-18-07
BC938R,None,"MAYO SUPERCUT Dissecting Scissors, straight, heavy pattern, wave cut, blunt/blunt, 305 mm (12"")",https://products.api.bbraun.io/api/image/BC938R?countryISOCode=01,09-002-04-07
BC939R,"FOMON SUPERCUT Dissecting Scissors, curved, heavy pattern, wave cut, blunt/blunt, 115 mm (4 1/2"")","Kéo phẫu tích Fomon Supercut, cong, lưỡi gợn sóng, mũi tù/tù, dài 115mm",https://products.api.bbraun.io/api/image/BC939R?countryISOCode=01,99-999-99-99
BC945R,"METZENBAUM SUPERCUT Dissecting Scissors, curved, wave cut, blunt/blunt, 230 mm (9"")","Kéo phẫu tích Metzenbaum Supercut, cong, lưỡi gợn sóng, mũi tù/tù, dài 230mm",https://products.api.bbraun.io/api/image/BC945R?countryISOCode=01,11-661-23-07
BC947R,"METZENBAUM SUPERCUT Dissecting Scissors, curved, wave cut, blunt/blunt, 260 mm (10 1/4"")","Kéo phẫu tích Metzenbaum Supercut, cong, lưỡi gợn sóng, mũi tù/tù, dài 260mm",https://products.api.bbraun.io/api/image/BC947R?countryISOCode=01,11-661-26-07
BC949R,"METZENBAUM SUPERCUT Dissecting Scissors, curved, wave cut, blunt/blunt, 285 mm (11 1/4"")","Kéo phẫu tích Metzenbaum Supercut, cong, lưỡi gợn sóng, mũi tù/tù, dài 285mm",https://products.api.bbraun.io/api/image/BC949R?countryISOCode=01,11-661-28-07
BC951R,None,"METZENBAUM SUPERCUT Dissecting Scissors, curved, wave cut, blunt/blunt, 300 mm (11 3/4"")",https://products.api.bbraun.io/api/image/BC951R?countryISOCode=01,11-661-31-07
BC957R,"POTTS-SMITH SUPERCUT Vascular Scissors, angled, 25 °, wave cut, sharp/sharp, 190 mm (7 1/2"")","Kéo vi phẫu mạch máu Potts-Smith Supercut, gập góc 25°, lưỡi gợn sóng, mũi nhọn/nhọn, dài 190mm",https://products.api.bbraun.io/api/image/BC957R?countryISOCode=01,99-999-99-99
