code,viet,eng,alternative,brand
FM145R,"Kéo vi phẫu Sensation, lưỡi cong lên, tay cầm hình lưỡi lê, cán nhựa tròn, màu xanh da trời, mũi tù/tù, dài 245mm, chiều dài sử dụng 120mm","SENSATION Micro Scissors, curved upwards, bayonet-shaped, blunt/blunt, 245 mm (9 5/8""), round handle, blue",99-999-99-99,B-Braun
FM146B,"Kéo vi phẫu Noir, Sensation, ngàm cong lên, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu đỏ, dài 185mm, chiều dài hoạt động 60mm","SENSATION, Noir® Micro Scissors, curved upwards, bayonet-shaped, sharp/sharp, 185 mm (7 1/4""), round handle, red",99-999-99-99,B-Braun
FM147B,"Kéo vi phẫu Noir, Sensation, ngàm cong lên, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu đỏ, dài 195mm, chiều dài hoạt động 70mm","Noir®, SENSATION Micro Scissors, curved upwards, bayonet-shaped, sharp/sharp, 195 mm (7 3/4""), round handle, red",99-999-99-99,B-Braun
FM148B,"Kéo vi phẫu Noir, Sensation, ngàm cong lên, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu đỏ, dài 215mm, chiều dài hoạt động 90mm","Noir®, SENSATION Micro Scissors, curved upwards, bayonet-shaped, sharp/sharp, 215 mm (8 1/2""), round handle, red",99-999-99-99,B-Braun
FM149B,"Kéo vi phẫu Noir, Sensation, ngàm cong lên, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu đỏ, dài 245mm, chiều dài hoạt động 120mm","SENSATION, Noir® Micro Scissors, curved upwards, bayonet-shaped, sharp/sharp, 245 mm (9 5/8""), round handle, red",99-999-99-99,B-Braun
FM150R,"Kẹp vi phẫu Sensation, tay cầm hình lưỡi lê, cán nhựa tròn, màu đen, dài 190mm, chiều dài sử dụng 70mm, chiều rộng ngàm 0,5mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 190 mm (7 1/2""), work. length: 70 mm, jaw width 0.50 mm, smooth, round handle",99-999-99-99,B-Braun
FM151R,"Kẹp vi phẫu Sensation, tay cầm hình lưỡi lê, cán nhựa tròn, màu đen, dài 190mm, chiều dài sử dụng 70mm, chiều rộng ngàm 1,1mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 190 mm (7 1/2""), work. length: 70 mm, jaw width 0.90 mm, smooth, round handle",99-999-99-99,B-Braun
FM153R,"Kẹp vi phẫu Sensation, tay cầm hình lưỡi lê, cán nhựa tròn, màu đen, dài 210mm, chiều dài sử dụng 90mm, chiều rộng ngàm 0,5mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 210 mm (8 1/4""), work. length: 90 mm, jaw width 0.50 mm, smooth, round handle",99-999-99-99,B-Braun
FM154R,"Kẹp vi phẫu Sensation, tay cầm hình lưỡi lê, cán nhựa tròn, màu đen, dài 210mm, chiều dài sử dụng 90mm, chiều rộng ngàm 1,1mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 210 mm (8 1/4""), work. length: 90 mm, jaw width 0.90 mm, smooth, round handle",99-999-99-99,B-Braun
FM156R,"Kẹp vi phẫu Sensation, tay cầm hình lưỡi lê, cán nhựa tròn, màu đen, dài 240mm, chiều dài sử dụng 120mm, chiều rộng ngàm 0,5mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 240 mm (9 1/2""), work. length: 120 mm, jaw width 0.50 mm, smooth, round handle",99-999-99-99,B-Braun
FM157R,"Kẹp vi phẫu Sensation, tay cầm hình lưỡi lê, cán nhựa tròn, màu đen, dài 240mm, chiều dài sử dụng 120mm, chiều rộng ngàm 1,1mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 240 mm (9 1/2""), work. length: 120 mm, jaw width 0.90 mm, smooth, round handle",99-999-99-99,B-Braun
FM158R,"Kẹp vi phẫu, thẳng, hình lưỡi lê, cán tròn, dài 245mm","SENSATION Micro Dressing Forceps, straight, bayonet-shaped, 245 mm (9 5/8""), work. length: 120 mm, jaw width 2.50 mm, serrated, round handle",99-999-99-99,B-Braun
FM159R,"Kéo vi phẫu Sensation, thẳng dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu xanh da trời, dài 260mm, chiều dài hoạt động 135mm","SENSATION Micro Scissors, straight, bayonet-shaped, sharp/sharp, 260 mm (10 1/4""), round handle, blue",99-999-99-99,B-Braun
FM160R,"Kéo vi phẫu Sensation, thẳng, dáng lưỡi lê, mũi tù/tù, cán nhựa tròn, màu xanh da trời, dài 260mm, chiều dài hoạt động 135mm",None,99-999-99-99,B-Braun
FM161R,"Kéo vi phẫu Sensation, ngàm cong lên, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu xanh da trời, dài 260mm, chiều dài hoạt động 135mm","SENSATION Micro Scissors, curved upwards, bayonet-shaped, sharp/sharp, 260 mm (10 1/4""), round handle, blue",99-999-99-99,B-Braun
FM162R,"Kéo vi phẫu Sensation, ngàm cong lên, dáng lưỡi lê, mũi tù/tù, cán nhựa tròn, màu xanh da trời, dài 260mm, chiều dài hoạt động 135mm",None,99-999-99-99,B-Braun
FM163R,"Kéo vi phẫu Sensation, ngàm cong xuống, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu xanh da trời, dài 215mm, chiều dài hoạt động 90mm","SENSATION Micro Scissors, curved downwards, bayonet-shaped, sharp/sharp, 215 mm (8 1/2""), round handle, blue",99-999-99-99,B-Braun
FM167R,"Kéo vi phẫu Sensation, ngàm cong sang trái 45 °, dáng lưỡi lê, một đầu thăm, cán nhựa tròn, màu xanh da trời, dài 215mm, chiều dài hoạt động 90mm","SENSATION Micro Scissors, angled left, 45 °, bayonet-shaped, 1 blade probe pointed, 215 mm (8 1/2""), round handle, blue",99-999-99-99,B-Braun
FM168R,"Kéo vi phẫu Sensation, ngàm cong sang trái 45 °, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu xanh da trời, dài 215mm, chiều dài hoạt động 90mm","SENSATION Micro Scissors, angled left, 45 °, bayonet-shaped, sharp/sharp, 215 mm (8 1/2""), round handle, blue",99-999-99-99,B-Braun
FM169R,"Kéo vi phẫu Sensation, ngàm cong sang trái 125 °, dáng lưỡi lê, mũi nhọn/nhọn, cán nhựa tròn, màu xanh da trời, dài 215mm, chiều dài hoạt động 90mm",None,99-999-99-99,B-Braun
FM170R,"Kẹp mang kim vi phẫu Sensation, ngàm cong, tay cầm hình lưỡi lê, cán nhựa tròn, màu xanh lá cây, dài 195mm, chiều dài sử dụng 70mm, chiều rộng ngàm 0,50mm","SENSATION Micro Needle Holder, curved, bayonet-shaped, 195 mm (7 3/4""), work. length: 70 mm, jaw: smooth, round handle, for suture up to 7/0",99-999-99-99,B-Braun
